S187    ,0.002,0.069,0.93,0.017,0.642,0.341,0,0.041,0.958,0.042,0.232,0.726,0.032,0.235,0.733,0,0.002,0.998,0.019,0.402,0.579,0,0.01,0.99
S189    ,0.022,0.23,0.748,0.027,0.696,0.277,0,0.039,0.961,0.007,0.105,0.888,0.053,0.255,0.692,0,0,1,0.019,0.402,0.579,0,0.01,0.99
S194    ,0.001,0.049,0.95,0,0.034,0.966,0.001,0.074,0.925,0,0.016,0.984,0,0.027,0.972,0,0,1,0.018,0.402,0.58,0,0.01,0.99
S195    ,0.004,0.118,0.878,0,0.127,0.872,0.001,0.069,0.93,0,0.025,0.975,0.001,0.049,0.95,0,0.001,0.999,0.073,0.599,0.328,0,0.01,0.99
S197    ,0,0.041,0.959,0.225,0.744,0.031,0.001,0.078,0.921,0,0.018,0.981,0.002,0.061,0.937,0,0,1,0.018,0.402,0.579,0,0.01,0.99
S198    ,0.026,0.248,0.726,0.019,0.659,0.322,0,0.045,0.955,0.002,0.054,0.944,0.004,0.075,0.921,0,0,1,0.018,0.402,0.58,0,0.01,0.99
S200    ,0.162,0.472,0.366,0.564,0.423,0.013,0,0.045,0.955,0.037,0.241,0.722,0.028,0.167,0.804,0.007,0.445,0.549,0.496,0.427,0.078,0,0.033,0.966
S201    ,0.005,0.124,0.871,0.155,0.78,0.065,0,0.018,0.981,0,0.016,0.984,0.002,0.055,0.943,0,0.064,0.936,0.859,0.139,0.002,0,0.013,0.987
S203    ,0,0.039,0.961,0.002,0.33,0.668,0.003,0.115,0.882,0.001,0.034,0.965,0.003,0.066,0.931,0,0.001,0.999,0.019,0.402,0.579,0,0.01,0.99
S204    ,0.063,0.365,0.571,0.279,0.673,0.048,0.018,0.233,0.749,0.006,0.1,0.894,0.001,0.04,0.96,0.001,0.196,0.803,0.534,0.433,0.033,0.026,0.216,0.758
S208    ,0.749,0.21,0.041,0.971,0.029,0.001,0.045,0.297,0.657,0.229,0.475,0.296,0.187,0.409,0.404,0.536,0.459,0.006,0.981,0.019,0.001,0.695,0.26,0.045
S209    ,0.227,0.484,0.29,0.399,0.569,0.032,0.001,0.067,0.932,0.125,0.349,0.526,0.096,0.349,0.555,0.012,0.321,0.667,0.149,0.421,0.429,0.128,0.381,0.491
