"SubjID","AltID","Classroom","Gender","Race","Level_Code","pre_scaled","post_scaled","gain_scaled","Form_Order","PreACorr","PostBCorr","PreBCorr","PostACorr","PreScore","PostScore","Gain","preacorr_adj","postbcorr_adj","prebcorr_adj","postacorr_adj","Zpreacorr_adj","Zpostbcorr_adj","Zprebcorr_adj","Zpostacorr_adj","scale_prea","scale_preb","scale_posta","scale_postb","Flagged","Last_Row","Gain_again","Cond_code","Sequencing","Feedback"
"S249","s11-04","c11","Male","7","Academic",41,54,13,1,5,9,NA,NA,5,9,4,5,9,NA,NA,-0.86,0,NA,NA,41,NA,NA,54,FALSE,62,4,"adaptive_acc","Adaptive","Accuracy"
"S250","s11-13","c11","Female","7","Academic",57,53,-4,2,NA,NA,10,9,10,9,-1,NA,NA,10,9,NA,NA,0.71,-0.23,NA,57,53,NA,FALSE,62,-1,"adaptive_full","Adaptive","Full"
"S251","s11-12","c11","Male","7","Academic",41,51,10,1,6,8,NA,NA,6,8,2,5,8,NA,NA,-0.86,-0.25,NA,NA,41,NA,NA,51,FALSE,NA,2,"linear_full","Linear","Full"
"S252","s11-07","c11","Female","7","Academic",51,47,-4,2,NA,NA,8,7,8,7,-1,NA,NA,8,7,NA,NA,0.11,-0.78,NA,51,47,NA,FALSE,62,-1,"adaptive_acc","Adaptive","Accuracy"
"S253","s11-05","c11","Male","3","Academic",53,63,10,1,10,12,NA,NA,10,12,2,9,12,NA,NA,0.27,0.75,NA,NA,53,NA,NA,63,FALSE,62,2,"adaptive_full","Adaptive","Full"
"S254","s11-09","c11","Male","1","Academic",69,73,4,2,NA,NA,14,17,14,17,3,NA,NA,14,16,NA,NA,1.91,1.66,NA,69,73,NA,FALSE,NA,3,"linear_full","Linear","Full"
"S255","s11-08","c11","Female","6","Academic",50,60,10,1,8,11,NA,NA,8,11,3,8,11,NA,NA,-0.01,0.5,NA,NA,50,NA,NA,60,FALSE,62,3,"adaptive_acc","Adaptive","Accuracy"
"S256","s11-15","c11","Female","8","Academic",36,36,0,2,NA,NA,4,4,4,4,0,NA,NA,3,3,NA,NA,-1.39,-1.86,NA,36,36,NA,FALSE,62,0,"adaptive_full","Adaptive","Full"
"S257","s11-02","c11","Female","7","Academic",61,57,-4,1,12,11,NA,NA,12,11,-1,12,10,NA,NA,1.12,0.25,NA,NA,61,NA,NA,57,FALSE,NA,-1,"linear_full","Linear","Full"
"S258","s11-03","c11","Female","7","Academic",54,56,2,2,NA,NA,10,10,10,10,0,NA,NA,9,10,NA,NA,0.41,0.04,NA,54,56,NA,FALSE,62,0,"adaptive_acc","Adaptive","Accuracy"
