"SubjID","AltID","Session","Cond_code","Sequencing","Feedback","All_Items","Correct","Incorrect","Reamaining","ElapsedTime","P.sgp..H","P.sgp..M","P.sgp..L","EAP.sgp","MAP.sgp","P.cr..H","P.cr..M","P.cr..L","EAP.cr","MAP.cr","P.dt..H","P.dt..M","P.dt..L","EAP.dt","MAP.dt","P.eg..H","P.eg..M","P.eg..L","EAP.eg","MAP.eg","P.exp..H","P.exp..M","P.exp..L","EAP.exp","MAP.exp","P.ext..H","P.ext..M","P.ext..L","EAP.ext","MAP.ext","P.mod..H","P.mod..M","P.mod..L","EAP.mod","MAP.mod","P.rr..H","P.rr..M","P.rr..L","EAP.rr","MAP.rr","P.tab..H","P.tab..M","P.tab..L","EAP.tab","MAP.tab","P.vr..H","P.vr..M","P.vr..L","EAP.vr","MAP.vr","P.pic..H","P.pic..M","P.pic..L","EAP.pic","MAP.pic"
"S104","s03-16","c03","adaptive_full","Adaptive","Full",63,9,54,0,1823,0,0,1,0,"L",0.018,0.402,0.58,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.007,0.993,0.0069999999999999,"L",0.007,0.489,0.505,0.502,"L",0.001,0.041,0.958,0.0429999999999999,"L",0.008,0.228,0.764,0.244,"L",0.037,0.288,0.675,0.361,"L",0.009,0.183,0.808,0.201,"L",0,0.026,0.973,0.0269999999999999,"L"
"S108","s03-17","c03","linear_full","Linear","Full",63,35,22,6,NA,0.844,0.155,0,1.844,"H",0.998,0.002,0,1.998,"H",0.294,0.332,0.374,0.921,"L",0.8,0.189,0.012,1.788,"H",0,0.022,0.978,0.022,"L",0.998,0.002,0,1.998,"H",0.182,0.499,0.319,0.863,"M",0.206,0.549,0.245,0.961,"M",0.824,0.167,0.009,1.815,"H",0.236,0.42,0.344,0.893,"M",0.739,0.217,0.044,1.695,"H"
"S097","s03-18","c03","adaptive_acc","Adaptive","Accuracy",63,30,33,0,2263,0.287,0.705,0.009,1.278,"M",0.95,0.049,0.001,1.949,"H",0.244,0.316,0.44,0.803,"L",0.003,0.102,0.895,0.108,"L",0.003,0.079,0.918,0.0860000000000001,"L",0.965,0.035,0,1.965,"H",0.624,0.327,0.049,1.576,"H",0.014,0.239,0.747,0.267,"L",0.119,0.447,0.434,0.685,"M",0.105,0.367,0.528,0.577,"L",0.027,0.272,0.701,0.326,"L"
"S129","s04-01","c04","adaptive_full","Adaptive","Full",63,47,15,1,2510,0.998,0.002,0,1.998,"H",1,0,0,2,"H",0.308,0.336,0.356,0.952,"L",0.936,0.063,0.001,1.935,"H",0.005,0.105,0.89,0.115,"L",1,0,0,2,"H",0.439,0.465,0.096,1.343,"M",0.531,0.405,0.064,1.467,"H",0.66,0.306,0.035,1.625,"H",0.5,0.373,0.127,1.373,"H",0.897,0.101,0.002,1.895,"H"
"S128","s04-02","c04","adaptive_acc","Adaptive","Accuracy",63,27,36,0,2444,0.019,0.718,0.263,0.755,"M",0.898,0.1,0.003,1.895,"H",0.189,0.288,0.523,0.665,"L",0.456,0.411,0.133,1.323,"H",0,0.007,0.993,0.0069999999999999,"L",0.648,0.341,0.011,1.637,"H",0.01,0.161,0.828,0.182,"L",0.008,0.229,0.762,0.246,"L",0.314,0.496,0.19,1.124,"M",0.017,0.193,0.79,0.227,"L",0.004,0.12,0.876,0.127,"L"
"S120","s04-03","c04","adaptive_full","Adaptive","Full",63,35,28,0,2682,0.316,0.675,0.009,1.307,"M",0.98,0.02,0,1.98,"H",0.246,0.317,0.437,0.809,"L",0.068,0.373,0.559,0.509,"L",0.007,0.099,0.894,0.113,"L",0.978,0.021,0,1.978,"H",0.499,0.403,0.098,1.401,"H",0.067,0.429,0.505,0.562,"L",0.603,0.348,0.049,1.554,"H",0.134,0.379,0.487,0.647,"L",0.027,0.271,0.702,0.325,"L"
"S136","s04-04","c04","linear_full","Linear","Full",63,43,18,2,NA,0.896,0.104,0,1.896,"H",0.999,0.001,0,1.999,"H",0.299,0.333,0.368,0.931,"L",0.92,0.079,0.002,1.918,"H",0.011,0.132,0.858,0.153,"L",1,0,0,2,"H",0.177,0.504,0.32,0.857,"M",0.292,0.504,0.205,1.087,"M",0.934,0.065,0.001,1.933,"H",0.501,0.366,0.132,1.369,"H",0.032,0.292,0.676,0.356,"L"
"S122","s04-05","c04","adaptive_acc","Adaptive","Accuracy",63,34,29,0,2421,0.078,0.85,0.072,1.007,"M",0.956,0.043,0.001,1.955,"H",0.217,0.305,0.478,0.74,"L",0.545,0.386,0.069,1.475,"H",0,0.013,0.987,0.0129999999999999,"L",0.97,0.03,0,1.97,"H",0.036,0.289,0.675,0.361,"L",0.381,0.525,0.095,1.286,"M",0.386,0.484,0.131,1.255,"M",0.073,0.302,0.625,0.447,"L",0.009,0.184,0.806,0.203,"L"
"S124","s04-06","c04","linear_full","Linear","Full",63,33,30,0,2489,0.054,0.877,0.069,0.984,"M",0.992,0.008,0,1.992,"H",0.215,0.305,0.48,0.735,"L",0.006,0.148,0.846,0.16,"L",0.001,0.029,0.97,0.0309999999999999,"L",0.986,0.014,0,1.986,"H",0.055,0.342,0.604,0.451,"L",0.067,0.432,0.501,0.566,"L",0.068,0.411,0.521,0.547,"L",0.401,0.421,0.179,1.222,"M",0.006,0.159,0.835,0.172,"L"
"S127","s04-07","c04","linear_full","Linear","Full",63,34,29,0,2462,0.052,0.877,0.072,0.98,"M",0.955,0.044,0.001,1.954,"H",0.215,0.304,0.481,0.734,"L",0.001,0.064,0.935,0.0660000000000001,"L",0,0.027,0.972,0.028,"L",0.987,0.013,0,1.987,"H",0.152,0.443,0.405,0.746,"M",0.851,0.145,0.004,1.847,"H",0.872,0.124,0.004,1.868,"H",0.306,0.398,0.296,1.011,"M",0,0.044,0.955,0.0449999999999999,"L"
"S126","s04-08","c04","adaptive_full","Adaptive","Full",63,8,55,0,1438,0,0,1,0,"L",0.018,0.402,0.579,0.439,"L",0.097,0.227,0.675,0.422,"L",0,0.01,0.99,0.01,"L",0,0.001,0.999,0.00099999999999989,"L",0.018,0.669,0.313,0.704,"M",0,0.006,0.994,0.00600000000000001,"L",0.001,0.101,0.897,0.104,"L",0.011,0.17,0.819,0.192,"L",0,0.038,0.962,0.0389999999999999,"L",0,0.023,0.977,0.0229999999999999,"L"
"S134","s04-09","c04","adaptive_acc","Adaptive","Accuracy",63,29,34,0,2403,0.005,0.411,0.584,0.421,"L",0.473,0.445,0.082,1.391,"H",0.148,0.261,0.59,0.558,"L",0,0.031,0.968,0.032,"L",0.018,0.185,0.796,0.222,"L",0.984,0.016,0,1.984,"H",0.053,0.272,0.675,0.378,"L",0.002,0.108,0.89,0.113,"L",0.066,0.384,0.55,0.515,"L",0.06,0.329,0.611,0.449,"L",0.287,0.491,0.222,1.066,"M"
"S125","s04-10","c04","adaptive_acc","Adaptive","Accuracy",63,18,45,0,927,0,0.006,0.994,0.00600000000000001,"L",0.211,0.653,0.136,1.075,"M",0.098,0.228,0.674,0.424,"L",0,0.01,0.99,0.01,"L",0.008,0.131,0.86,0.148,"L",0.095,0.79,0.114,0.981,"M",0,0.025,0.975,0.0249999999999999,"L",0.001,0.102,0.896,0.105,"L",0.066,0.371,0.562,0.504,"L",0.003,0.109,0.888,0.114,"L",0,0.036,0.964,0.036,"L"
"S132","s04-11","c04","adaptive_full","Adaptive","Full",63,24,39,0,2189,0,0.112,0.888,0.112,"L",0.279,0.599,0.122,1.157,"M",0.111,0.236,0.653,0.458,"L",0,0.015,0.985,0.016,"L",0,0.008,0.992,0.00800000000000001,"L",0.918,0.082,0,1.917,"H",0.004,0.076,0.92,0.083,"L",0.041,0.423,0.535,0.506,"L",0.113,0.445,0.441,0.672,"M",0.052,0.341,0.608,0.444,"L",0.001,0.064,0.934,0.0669999999999999,"L"
"S121","s04-12","c04","linear_full","Linear","Full",63,40,23,0,2024,0.79,0.21,0,1.789,"H",0.995,0.005,0,1.995,"H",0.29,0.33,0.38,0.909,"L",0.585,0.358,0.057,1.529,"H",0.009,0.118,0.872,0.137,"L",0.999,0.001,0,1.999,"H",0.504,0.41,0.086,1.418,"H",0.464,0.458,0.078,1.386,"H",0.735,0.243,0.022,1.713,"H",0.198,0.394,0.408,0.79,"L",0.003,0.109,0.888,0.115,"L"
"S123","s04-13","c04","adaptive_full","Adaptive","Full",63,42,20,1,2664,0.983,0.017,0,1.983,"H",1,0,0,2,"H",0.307,0.336,0.358,0.949,"L",0.841,0.153,0.005,1.836,"H",0.008,0.138,0.855,0.153,"L",1,0,0,2,"H",0.396,0.49,0.114,1.281,"M",0.563,0.379,0.058,1.505,"H",0.9,0.098,0.003,1.897,"H",0.618,0.309,0.072,1.546,"H",0.543,0.397,0.06,1.483,"H"
"S130","s04-14","c04","linear_full","Linear","Full",63,30,33,0,2192,0.078,0.751,0.171,0.908,"M",0.748,0.224,0.028,1.72,"H",0.205,0.297,0.498,0.708,"L",0.105,0.429,0.466,0.639,"L",0,0.006,0.994,0.00600000000000001,"L",0.951,0.049,0,1.951,"H",0.176,0.438,0.385,0.791,"M",0.041,0.424,0.535,0.506,"L",0.802,0.188,0.01,1.791,"H",0.016,0.179,0.805,0.212,"L",0.025,0.27,0.706,0.319,"L"
